canton,mes,anio,produccion,area
El Guarco,octubre,2008,54.92,3.97
El Guarco,noviembre,2008,,
El Guarco,diciembre,2008,,
Cartago,enero,2008,2248.08,103.11
Cartago,febrero,2008,1928.72,90.13
Cartago,marzo,2008,1359.79,62.31
Cartago,abril,2008,334.8,16.98
Cartago,mayo,2008,374.11,17.69
Cartago,junio,2008,706.38,32.39
Cartago,julio,2008,1281.13,60.21
Cartago,agosto,2008,3920.76,185.9
Cartago,septiembre,2008,3036.84,135.48
Cartago,octubre,2008,1902.74,84.35
Cartago,noviembre,2008,,
Cartago,diciembre,2008,895.9,42.35
Alvarado,enero,2008,699.36,25.03
Alvarado,febrero,2008,774.42,27.17
Alvarado,marzo,2008,61.27,2.59
Alvarado,abril,2008,2296.85,95.94
Alvarado,mayo,2008,2092.73,86.5
Alvarado,junio,2008,2005.77,73.69
Alvarado,julio,2008,91.08,4.2
Alvarado,agosto,2008,2332.11,87.52
Alvarado,septiembre,2008,1571.95,59.75
Alvarado,octubre,2008,597.9,22.79
Alvarado,noviembre,2008,1122.86,39.73
Alvarado,diciembre,2008,520.61,20.8
Turrialba,enero,2009,3.68,92.01
Turrialba,febrero,2009,8.05,224.8
Turrialba,marzo,2009,2.8,66.24
Turrialba,abril,2009,4.9,128.34
Turrialba,mayo,2009,1.4,38.92
Turrialba,junio,2009,7.35,241.36
Turrialba,julio,2009,5.95,205.34
Turrialba,agosto,2009,11.9,381.71
Turrialba,septiembre,2009,31.85,1100.0
Turrialba,octubre,2009,8.4,284.42
Turrialba,noviembre,2009,8.4,322.92
Turrialba,diciembre,2009,10.85,274.9
Oreamuno,enero,2009,23.45,553.93
Oreamuno,febrero,2009,58.36,1416.22
Oreamuno,marzo,2009,71.05,1748.68
Oreamuno,abril,2009,124.16,2886.68
Oreamuno,mayo,2009,63.06,1512.0
Oreamuno,junio,2009,23.11,540.49
Oreamuno,julio,2009,83.83,2200.3
Oreamuno,agosto,2009,56.2,1399.0
Oreamuno,septiembre,2009,97.67,2503.0
Oreamuno,octubre,2009,36.58,990.17
Oreamuno,noviembre,2009,49.18,1323.0
Oreamuno,diciembre,2009,54.56,1343.42
